,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
469,Walgreen's is now selling the opioid overdose drug as a nasal spray to anyone at stores in 45 states. https://t.co/jX0d3nzCVw,FALSE,0,NA,10/28/2017 0:35,FALSE,NA,9.24072E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",hotcountry1065,0,FALSE,FALSE,NA,NA
470,"Naloxone’s rise to prominence has been good for its manufacturers, Amphastar Pharmaceuticals and Pfizer, which... https://t.co/F0NkJR4xmm",FALSE,0,NA,10/28/2017 0:32,FALSE,NA,9.24071E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",nickmlittlejohn,0,FALSE,FALSE,NA,NA
471,"6abc: Puppy overdoses on opioid, revived by Narcan https://t.co/hsjsaLYSrh https://t.co/MQ2wKNuZvG https://t.co/2BoflibjNg",FALSE,0,NA,10/28/2017 0:32,FALSE,NA,9.24071E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",KarloMdz,0,FALSE,FALSE,NA,NA
472,"RT @6abc: Puppy overdoses on opioid, revived by Narcan https://t.co/P9R7dwp7Mr https://t.co/FttaSOXgcH",FALSE,0,NA,10/28/2017 0:30,FALSE,NA,9.24071E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrJenCaudle,16,TRUE,FALSE,NA,NA
473,"Puppy overdoses on opioid, revived by Narcan https://t.co/P9R7dwp7Mr https://t.co/FttaSOXgcH",FALSE,31,NA,10/28/2017 0:30,FALSE,NA,9.24071E+17,NA,"<a href=""http://www.spredfast.com"" rel=""nofollow"">Spredfast app</a>",6abc,16,FALSE,FALSE,NA,NA
474,Walgreen's is now selling the opioid overdose drug as a nasal spray to anyone at stores in 45 states. https://t.co/ywtgHWbPnD,FALSE,1,NA,10/28/2017 0:30,FALSE,NA,9.24071E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",TheMix1047,0,FALSE,FALSE,NA,NA
475,Walgreen's is now selling the opioid overdose drug as a nasal spray to anyone at stores in 45 states. https://t.co/o3O9iD76bc,FALSE,0,NA,10/28/2017 0:30,FALSE,NA,9.24071E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",am930koga,0,FALSE,FALSE,NA,NA
476,"What is #Narcan? Here are 12 things to know about the drug now sold OTC at 8,000 Walgreens nationwide -… https://t.co/oCmXbAbFRF",FALSE,1,NA,10/28/2017 0:29,TRUE,NA,9.2407E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",wsbtv,1,FALSE,FALSE,NA,NA
477,The Heroin Fix: Addicts Saving Each Other With Narcan. https://t.co/1oq2PMjigz,FALSE,2,NA,10/28/2017 0:28,FALSE,NA,9.2407E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NYCEMSwatch,0,FALSE,FALSE,NA,NA
478,"RT @wsbtv: What is #Narcan? Here are 12 things to know about the drug now sold OTC at 8,000 Walgreens nationwide - https://t.co/i1A5wHwr1M…",FALSE,0,NA,10/28/2017 0:26,FALSE,NA,9.2407E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",beccapril108,5,TRUE,FALSE,NA,NA
479,Narcan Is Now Sold at Walgreens. What's That? - https://t.co/1vpdUlIbZU by RO Water Filter https://t.co/BFA7TL5zPO https://t.co/yME7W5drBH,FALSE,0,NA,10/28/2017 0:25,FALSE,NA,9.2407E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",melucky873,0,FALSE,FALSE,NA,NA
480,Narcan Is Now Sold at Walgreens. What's That? https://t.co/bCplAYQxQ6,FALSE,6,NA,10/28/2017 0:25,FALSE,NA,9.24069E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",DavidPapp,5,FALSE,FALSE,NA,NA
481,"""Let's play heroin pong, loser gets the last shot of narcan.""",FALSE,0,NA,10/28/2017 0:23,FALSE,NA,9.24069E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Deeeeeeeeeeeeev,0,FALSE,FALSE,NA,NA
482,"Walgreens now sells overdose antidote #Narcan
over-the-counter in 45 states https://t.co/wsQN6lQoco via @MailOnline",FALSE,0,NA,10/28/2017 0:22,FALSE,NA,9.24069E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Luminaria98,0,FALSE,FALSE,NA,NA
